WaistBack-x,WaistBack-y,WaistBack-z,WaistL-x,WaistL-y,WaistL-z,LKnee-x,LKnee-y,LKnee-z,LAnkleOut-x,LAnkleOut-y,LAnkleOut-z,WaistR-x,WaistR-y,WaistR-z,RKnee-x,RKnee-y,RKnee-z,RAnkleOut-x,RAnkleOut-y,RAnkleOut-z,SpineThoracic12-x,SpineThoracic12-y,SpineThoracic12-z,UpperTorso-x,UpperTorso-y,UpperTorso-z,NeckBase-x,NeckBase-y,NeckBase-z,CenterHead-x,CenterHead-y,CenterHead-z,RShoulderTop-x,RShoulderTop-y,RShoulderTop-z,RElbow-x,RElbow-y,RElbow-z,RHand-x,RHand-y,RHand-z,LShoulderTop-x,LShoulderTop-y,LShoulderTop-z,LElbow-x,LElbow-y,LElbow-z,LHand-x,LHand-y,LHand-z,RForefoot-x,RForefoot-y,RForefoot-z,LForefoot-x,LForefoot-y,LForefoot-z
882.31,506.64,1163.945,974.564,699.115,1145.051,1227.478,605.1865,644.3475000000001,1200.032,603.009,195.578,1016.544,361.085,1119.018,811.9465,466.6855,597.213,453.686,412.935,342.75,901.634,501.911,1423.316,1028.218,563.518,1532.7985,1072.81675,569.14825,1689.70125,1129.417,573.1643333333334,1796.937,1133.849,402.998,1575.004,1090.8635,223.74,1279.5845,1187.68,428.465,1369.5095,977.763,734.436,1590.214,677.025,726.9024999999999,1425.214,880.379,775.2265,1289.668,0.0,0.0,0.0,1373.148,594.178,182.1605
881.873,506.949,1164.86,974.878,698.16,1145.117,1222.7345,604.9275,640.4735000000001,1217.273,602.248,192.151,1015.92,360.9,1121.458,815.934,467.237,596.377,445.44,412.112,358.28,902.28,502.05,1424.758,1028.9555,564.141,1533.597,1074.0404999999998,569.91625,1690.1382500000002,1131.0473333333332,574.3356666666667,1797.542,1135.629,403.045,1575.006,1086.22,222.8685,1280.9745,1186.2015,428.3245,1365.5775,977.627,735.04,1590.639,677.8955000000001,726.6175000000001,1423.895,882.4865,775.999,1290.7765,0.0,0.0,0.0,1390.7865000000002,591.6255000000001,188.8465
881.542,507.214,1165.009,975.453,697.434,1144.444,1217.6125,604.4365,636.1600000000001,1232.353,601.342,189.439,1014.917,360.824,1123.39,820.309,467.8065,595.1165000000001,438.248,411.083,374.614,902.699,502.416,1425.813,1029.6585,564.809,1533.9665,1075.26,570.6155,1690.1005,1132.617,575.5083333333333,1797.6866666666667,1137.141,402.865,1574.155,1081.2115,222.0885,1281.897,1184.73,428.006,1361.0715,977.819,735.637,1590.874,679.1034999999999,726.729,1421.9115,885.0255,776.9124999999999,1291.2815,0.0,0.0,0.0,1405.697,589.6285,195.4495
881.21,507.662,1164.446,976.196,697.157,1143.086,1212.26,603.948,631.587,1245.158,600.639,187.671,1014.687,360.315,1124.692,825.2909999999999,468.08900000000006,593.2355,431.787,410.744,390.907,902.873,503.195,1426.491,1030.3475,565.4005,1533.975,1076.46875,571.2705,1689.5879999999995,1134.2406666666666,576.5453333333334,1797.369333333333,1138.255,402.8,1572.598,1075.903,221.4415,1282.5555,1183.4485,427.1925,1356.205,978.235,736.182,1590.816,680.7215000000001,727.1904999999999,1419.2115,888.0635,777.836,1291.13,0.0,0.0,0.0,1417.939,588.2529999999999,201.499
880.71,508.183,1163.354,976.928,697.408,1141.035,1206.799,603.4625,626.833,1255.402,599.348,185.974,1013.036,360.087,1125.747,830.8675000000001,468.19000000000005,590.7570000000001,426.899,410.034,408.219,903.052,504.181,1426.708,1031.1175,565.9625,1533.639,1077.575,571.89725,1688.666,1135.8729999999998,577.5106666666667,1796.5623333333333,1138.935,402.755,1570.716,1070.239,220.594,1283.2445,1182.053,426.2485,1350.7245,978.758,736.748,1590.42,682.5855,728.1225,1415.818,891.5654999999999,779.0025,1290.4875,200.661,232.261,117.279,1427.6219999999998,587.4780000000001,206.648
880.062,508.664,1161.753,977.556,698.024,1138.23,1201.566,602.9925000000001,622.182,1263.274,598.133,184.719,1011.564,359.749,1126.179,837.2165,468.1565,587.4639999999999,423.476,409.413,425.992,902.942,505.282,1426.545,1031.947,566.3145,1532.7885,1078.63775,572.533,1687.36775,1137.4206666666666,578.4586666666667,1795.267,1139.45,402.826,1568.646,1064.0725,220.03500000000005,1283.5300000000002,1180.517,425.205,1344.7624999999998,979.406,737.34,1589.656,684.8385000000001,729.5705,1411.7534999999998,895.3615,780.261,1289.2745,194.2655,230.2625,126.573,1434.756,587.2235000000001,210.454
879.18,509.352,1159.798,978.267,698.841,1134.891,1196.7145,602.4775,617.7135,1268.769,596.448,183.174,1010.215,359.344,1125.817,844.0554999999999,468.034,583.5665,421.926,409.093,444.211,902.563,506.267,1425.961,1032.861,566.414,1531.3365,1079.6435,573.112,1685.7144999999998,1138.9803333333332,579.2773333333333,1793.5113333333331,1139.567,402.755,1566.432,1057.962,219.4175,1283.644,1178.8085,424.0425,1338.3875,980.164,738.058,1588.527,687.3409999999999,731.4595,1407.007,899.6165000000001,781.605,1287.548,188.9595,227.977,136.1365,1439.72,587.6134999999999,212.976
878.473,509.948,1157.26,978.61,699.608,1131.16,1192.5079999999998,602.067,613.5419999999999,1271.784,594.801,181.536,1008.912,359.008,1124.808,851.5355,467.528,579.2615,422.3,408.867,462.519,902.126,507.643,1424.836,1033.763,566.5255,1529.371,1080.589,573.578,1683.658,1140.5603333333336,580.14,1791.291,1139.451,402.551,1564.155,1051.312,219.128,1283.3780000000002,1177.1,422.518,1331.7,980.922,738.405,1586.757,690.123,733.848,1401.6185,904.257,783.2555,1285.3665,184.758,225.8835,146.019,1442.4785,588.4425,214.0685
877.836,510.563,1154.25,978.764,700.226,1127.194,1188.8995,601.4575,609.9075,1272.672,593.179,179.153,1007.645,358.704,1123.198,858.543,467.5115,574.3620000000001,424.539,408.764,480.468,901.278,508.849,1423.273,1034.3805,566.7415000000001,1526.98,1081.4845,574.02175,1681.2855,1142.0746666666666,580.9003333333334,1788.662,1139.01,402.125,1561.741,1044.656,218.5905,1283.086,1175.2725,420.727,1324.6195,981.896,739.048,1584.683,693.1030000000001,736.8135,1395.6,909.26,784.856,1282.7115,181.598,223.128,155.864,1442.96,589.4304999999999,213.672
876.957,511.114,1150.994,978.838,700.717,1122.897,1185.7420000000002,601.0585,606.6265,1271.341,591.357,176.108,1006.368,358.405,1121.004,866.2139999999999,466.929,569.2535,428.736,409.159,497.821,899.842,510.08,1421.418,1034.8325,567.0045,1524.172,1082.2565,574.42125,1678.52275,1143.534666666667,581.6093333333334,1785.6266666666668,1138.302,401.55,1559.028,1037.8565,218.3895,1282.439,1173.3055,418.5940000000001,1317.2025,982.827,739.724,1582.196,696.344,740.0319999999999,1388.811,914.4515,786.476,1279.65,179.7955,220.787,165.7135,1441.4185,590.3689999999999,211.7885
876.141,511.684,1147.323,978.729,700.925,1118.254,1183.014,600.722,603.8620000000001,1268.074,589.948,172.329,1005.238,358.118,1118.26,874.0899999999999,466.1710000000001,563.831,434.647,409.608,514.304,898.465,511.176,1419.235,1035.0515,567.2425000000001,1520.9425,1083.1055,574.72825,1675.41825,1145.0663333333334,582.229,1782.2613333333331,1137.503,401.003,1556.08,1030.681,218.382,1281.3765,1171.41,416.213,1309.515,983.862,740.276,1579.167,699.646,743.976,1381.546,920.52,788.27,1276.112,178.9525,231.669,166.9555,1438.092,591.0545,208.371
875.549,512.256,1143.214,978.392,701.017,1113.271,1180.689,600.375,601.1225,1263.104,588.478,167.906,1004.155,357.99,1114.988,882.312,465.25,558.234,442.198,410.179,529.747,896.985,512.326,1416.882,1035.167,567.3885,1517.3294999999998,1083.7415,574.96925,1671.926,1146.484,582.7873333333333,1778.5199999999998,1136.307,400.314,1552.898,1023.855,218.3595,1280.3665,1169.5105,413.48,1301.5665,984.77,740.846,1575.575,703.3225,748.2115,1373.564,926.27,790.0495,1272.0549999999998,178.0695,228.847,175.741,1433.222,591.3420000000001,203.5635
